file_name,temperature / C,pressure / bar,thickness / cm,diameter / cm,flowrate / cm^3(STP) s^-1,timelag / s,diffusivity / cm^2 s^-1,permeability / cm^3(STP) bar^-1 cm^-1 s^-1,equilibrium_concentration / cm^3(STP) cm^-3,rmse / cm^3(STP) cm^-2 s^-1,r2
RUN_H_25C-100bar_7.xlsx,25.0,100.0,0.1,1.0,0.13333333333333333,6844.900309774272,2.4349027615299624e-07,3.101144134020677e-08,12.736213466167676,9.145437541943475e-07,0.992440612609799
RUN_H_25C-100bar_8.xlsx,25.0,100.0,0.1,1.0,0.13333333333333333,7356.980345294087,2.265422209171396e-07,3.0199762127744595e-08,13.330743384382421,6.281492948824676e-07,0.9955396809114617
RUN_H_25C-100bar_9.xlsx,25.0,100.0,0.1,1.0,0.13333333333333333,7318.454218178385,2.2773479439508085e-07,3.012233095937261e-08,13.22693400425915,5.981520473211912e-07,0.9958924498521721
RUN_H_25C-200bar_2.xlsx,25.0,200.0,0.1,1.0,0.13333333333333333,8118.261055069226,2.0529848145570072e-07,1.52822828173742e-08,14.887867371461105,5.94772582925001e-07,0.9962698024802938
RUN_H_25C-50bar.xlsx,25.0,50.0,0.1,1.0,0.13333333333333333,7332.127983783789,2.2731008928823601e-07,4.797557170033843e-08,10.55289095406231,3.9778329283187194e-07,0.9965709869983198
RUN_H_50C-100bar_2.xlsx,50.0,100.0,0.1,1.0,0.13333333333333333,2836.089534598424,5.876636285048239e-07,8.5747652365197e-08,14.591281169359135,2.234133090613941e-06,0.9941077181436386
RUN_H_50C-200bar.xlsx,50.0,200.0,0.1,1.0,0.13333333333333333,3190.8579369833387,5.223255624605921e-07,4.786031940601085e-08,18.325857605187288,2.042062131224126e-06,0.9956111945808582
RUN_H_50C-50bar.xlsx,50.0,50.0,0.1,1.0,0.13333333333333333,3069.000484068235,5.430649735373619e-07,9.602956267934559e-08,8.841443230433175,7.157571407296824e-07,0.9960517753650681
RUN_H_75C-100bar.xlsx,75.0,100.0,0.1,1.0,0.13333333333333333,1378.219051220802,1.2092901089927346e-06,2.0051206134025358e-07,16.58097257632149,8.064918128657144e-06,0.9865241387718644
RUN_H_75C-50bar.xlsx,75.0,50.0,0.1,1.0,0.13333333333333333,1355.5568056302304,1.2295070628868217e-06,2.0818126134112192e-07,8.466045768469302,2.596108064951594e-06,0.9934975225080528
S3R1.xlsx,115.0,100.0,0.1,1.0,0.06949999999999999,47981.35466164907,3.4735715121415985e-08,7.469167407326877e-09,21.50284622389084,2.736376683768806e-07,0.9899856591483123
S3R2.xlsx,115.0,200.0,0.1,1.0,0.06743333333333333,80999.9047519905,2.0576155882772323e-08,6.6492474907783415e-09,64.63060961105488,3.522703922505596e-06,0.4946729283843567
S3R3.xlsx,115.0,300.0,0.1,1.0,0.06711666666666667,37190.92229330092,4.4813803043730326e-08,4.7936837350245715e-09,32.09067347183268,1.395183969823734e-06,0.9364848704738639
S3R4.xlsx,115.0,100.0,0.1,1.0,0.06742333333333334,45286.71528862871,3.6802551389395195e-08,9.262523853250621e-09,25.168156835777573,2.3332998316386996e-07,0.9942924271187317
S4R3.xlsx,25.0,25.0,0.025,1.3,0.16383333333333333,37803.606055065604,2.7554690553841644e-09,1.224639550213236e-08,111.10989867771335,1.23638950315156e-07,0.9988849376846383
S4R4.xlsx,50.0,50.0,0.025,1.3,0.164,12057.04728375406,8.639483964454814e-09,2.0097964737231243e-08,116.31461334912902,5.557568690156113e-07,0.9978994530622926
S4R5.xlsx,75.0,50.0,0.025,1.3,0.16533333333333333,5750.261083668798,1.8115119496488314e-08,3.350255756797707e-08,92.4712574335258,9.160640932069745e-07,0.9979037118289251
S4R6.xlsx,50.0,50.0,0.025,1.3,0.16666666666666666,10262.190964642396,1.0150528968479058e-08,2.2497751143283727e-08,110.82058488354207,1.0235953010839238e-06,0.9956413228608005
